카테고리,항목,내용
전체 구조,챕터 수,7챕터
전체 구조,스테이지 수,7챕터 × 3스테이지 = 21스테이지
전체 구조,보스 수,던전 보스 21 + 챕터 보스 7 = 총 28종
전체 구조,스테이지당 예상 소요,2~5일
전체 구조,챕터 클리어 예상,10~20일
전체 클리어 예상,전체,70~140일
스테이지 런,기본 흐름,마을 → [필드런 or 던전런 선택] → 입장 → 몹 처치 → 귀환 → 드롭 확인
스테이지 런,자동 반복 ON,런 완료 후 즉시 재입장 (방치 파밍)
스테이지 런,자동 반복 OFF,런 1회 후 마을 대기
스테이지 런,인벤 풀 시,자동 중지 → 자연스러운 접속 주기 결정
필드 런,흐름,입장 → 일반몹 + 정예몹 순차 처치 → 귀환
필드 런,목적,매직/레어 장비 + 재료 + 골드
필드 런,리스크,낮음 (사망해도 드롭 유지)
던전 런,흐름,[일반 4마리 + 정예 1마리] × 3~4회 → 던전 보스 → 귀환
던전 런,목적,레어/유니크 장비 (보스 드롭)
던전 런,리스크,실패 시 해당 런의 보스 드롭 없음
챕터 보스,도전 조건,해당 챕터 3스테이지 모두 클리어
챕터 보스,첫 클리어,다음 챕터 해금 + 챕터 전용 유니크 드롭
챕터 보스,재도전,챕터 전용 유니크 반복 파밍
스폰 등급별 드롭,일반 (필드/던전),장비 드롭 X / 골드+강화재료+카드(극악확률)
스폰 등급별 드롭,정예 (필드중간/던전 세트당 1마리),장비 드롭 O (매직/레어) / 골드+강화재료+카드
스폰 등급별 드롭,보스 (던전 마지막),장비 드롭 O (레어/유니크) / 골드+강화재료
스폰 등급별 드롭,챕터 보스,장비 드롭 O (챕터 전용 유니크) / 골드
NPC 거점,이름,죄악의 성 (중앙 허브)
NPC 거점,대장간 (챕터 1 클리어),크래프팅 + 강화
NPC 거점,낙인 공방 (챕터 2 클리어),낙인 삽입/분해
NPC 거점,상인 (챕터 3 클리어),재료 구매 (골드 소모처)
NPC 거점,흔적 조합소 (챕터 4 클리어),흔적 현황 확인 + 슬롯 조정
골드 소모처,인벤토리 확장,더 오래 방치 파밍 가능 / 누적 비용 증가
골드 소모처,스탯 리셋,빌드 방향 변경 (레벨 × N골드)
골드 소모처,상인 재료 구매,드롭 부진 시 보완 수단
골드 소모처,옵션 수치 리롤,접사 조합 유지 수치만 재랜덤 (도박적 소모)
상태이상,화상 (Burn),체력회복 감소 / 챕터 1 분노 테마
상태이상,중독 (Poison),매 초 고정 데미지 / 챕터 2 시기 테마
상태이상,스턴 (Stun),일정 시간 공격 불가 / 챕터 3 탐욕 테마
상태이상,빙결 (Freeze),공격속도 감소 / 챕터 4 나태 테마
상태이상,침식 (Corrode),피격마다 방어력 영구 감소 (스택형) / 챕터 5 폭식 테마
상태이상,매혹 (Charm),명중률 대폭 감소 / 챕터 6 색욕 테마
상태이상,심판 (Judge),카드 스킬 발동 확률 0% (스킬 봉인) / 챕터 7 오만 테마
챕터 1,죄종,분노 / Wrath
